sex,age,sibsp,parch,fare,class,who,adult_male,deck,embark_town,alive,alone
male,22,1,0,7.25,Third,man,TRUE,,Southampton,no,FALSE
female,38,1,0,71.2833,First,woman,FALSE,C,Cherbourg,yes,FALSE
female,26,0,0,7.925,Third,woman,FALSE,,Southampton,yes,TRUE
female,35,1,0,53.1,First,woman,FALSE,C,Southampton,yes,FALSE
male,35,0,0,8.05,Third,man,TRUE,,Southampton,no,TRUE
male,,0,0,8.4583,Third,man,TRUE,,Queenstown,no,TRUE
male,54,0,0,51.8625,First,man,TRUE,E,Southampton,no,TRUE
male,2,3,1,21.075,Third,child,FALSE,,Southampton,no,FALSE
female,27,0,2,11.1333,Third,woman,FALSE,,Southampton,yes,FALSE
female,14,1,0,30.0708,Second,child,FALSE,,Cherbourg,yes,FALSE
female,4,1,1,16.7,Third,child,FALSE,G,Southampton,yes,FALSE
female,58,0,0,26.55,First,woman,FALSE,C,Southampton,yes,TRUE
male,20,0,0,8.05,Third,man,TRUE,,Southampton,no,TRUE
male,39,1,5,31.275,Third,man,TRUE,,Southampton,no,FALSE
female,14,0,0,7.8542,Third,child,FALSE,,Southampton,no,TRUE
female,55,0,0,16,Second,woman,FALSE,,Southampton,yes,TRUE
male,2,4,1,29.125,Third,child,FALSE,,Queenstown,no,FALSE
male,,0,0,13,Second,man,TRUE,,Southampton,yes,TRUE
female,31,1,0,18,Third,woman,FALSE,,Southampton,no,FALSE
female,,0,0,7.225,Third,woman,FALSE,,Cherbourg,yes,TRUE
male,35,0,0,26,Second,man,TRUE,,Southampton,no,TRUE
male,34,0,0,13,Second,man,TRUE,D,Southampton,yes,TRUE
female,15,0,0,8.0292,Third,child,FALSE,,Queenstown,yes,TRUE
male,28,0,0,35.5,First,man,TRUE,A,Southampton,yes,TRUE
female,8,3,1,21.075,Third,child,FALSE,,Southampton,no,FALSE
female,38,1,5,31.3875,Third,woman,FALSE,,Southampton,yes,FALSE
male,,0,0,7.225,Third,man,TRUE,,Cherbourg,no,TRUE
male,19,3,2,263,First,man,TRUE,C,Southampton,no,FALSE
female,,0,0,7.8792,Third,woman,FALSE,,Queenstown,yes,TRUE
male,,0,0,7.8958,Third,man,TRUE,,Southampton,no,TRUE
male,40,0,0,27.7208,First,man,TRUE,,Cherbourg,no,TRUE
female,,1,0,146.5208,First,woman,FALSE,B,Cherbourg,yes,FALSE
female,,0,0,7.75,Third,woman,FALSE,,Queenstown,yes,TRUE
male,66,0,0,10.5,Second,man,TRUE,,Southampton,no,TRUE
male,28,1,0,82.1708,First,man,TRUE,,Cherbourg,no,FALSE
male,42,1,0,52,First,man,TRUE,,Southampton,no,FALSE
male,,0,0,7.2292,Third,man,TRUE,,Cherbourg,yes,TRUE
